ID,Sale Price,No of Bedrooms,No of Bathrooms,Flat Area (in Sqft),Lot Area (in Sqft),No of Floors,Waterfront View,No of Times Visited,Condition of the House,Overall Grade,Area of the House from Basement (in Sqft),Basement Area (in Sqft),Age of House (in Years),Zipcode,Latitude,Longitude,Living Area after Renovation (in Sqft),Lot Area after Renovation (in Sqft),Plot length,total_area,year_sold,month_sold,date_sold,Ever Renovated,Years Since Renovation
2426039314,280000.0,2,1.5,1190.0,1265.0,3.0,No,0,Fair,7,1190.0,0,13,98133.0,47.7274,-122.357,1390.0,1756,34.49637662132068,2455.0,2017,12,31,No,0
461000390,687500.0,4,1.75,2330.0,5000.0,1.5,No,0,Good,7,1510.0,820,89,98117.0,47.6823,-122.368,1460.0,5000,48.27007354458868,7330.0,2017,6,30,No,0
7589200193,535000.0,3,1.0,1090.0,3000.0,1.5,No,0,Good,8,1090.0,0,89,98117.0,47.6889,-122.375,1570.0,5080,33.015148038438355,4090.0,2017,11,30,No,0
7955080270,322500.0,4,2.75,2060.0,6659.0,1.0,No,0,Fair,7,1280.0,780,37,98058.0,47.4276,-122.157,2020.0,8720,45.387222871640866,8719.0,2017,12,31,No,0
9547205180,696000.0,3,2.5,2300.0,3060.0,1.5,No,0,Fair,8,1510.0,790,88,98115.0,47.6827,-122.31,1590.0,3264,47.958315233127195,5360.0,2017,6,30,Yes,15
9435300030,550000.0,4,1.0,1660.0,34848.0,1.0,No,0,Bad,5,930.0,730,85,98052.0,47.6621,-122.132,2160.0,11467,40.74309757492672,36508.0,2017,5,31,No,0
2768000400,640000.0,4,2.0,2360.0,6000.0,2.0,No,0,Good,8,2360.0,0,114,98107.0,47.6702,-122.362,1730.0,4700,48.579831205964474,8360.0,2017,12,31,No,0
7895500070,240000.0,4,1.0,1220.0,8075.0,1.0,No,0,Okay,7,890.0,330,49,98001.0,47.3341,-122.282,1290.0,7800,34.92849839314596,9295.0,2016,2,29,No,0
2078500320,605000.0,4,2.5,2620.0,7553.0,2.0,No,0,Fair,8,2620.0,0,22,98056.0,47.5301,-122.18,2620.0,11884,51.18593556827891,10173.0,2017,6,30,No,0
5547700270,625000.0,4,2.5,2570.0,5520.0,2.0,No,0,Fair,9,2570.0,0,18,98074.0,47.6145,-122.027,2470.0,5669,50.695167422546305,8090.0,2017,7,31,No,0
7766200013,775000.0,4,2.25,4220.0,24186.0,1.0,No,0,Fair,8,2600.0,1620,34,98166.0,47.445,-122.347,2410.0,30617,64.96152707564686,28406.0,2017,8,31,No,0
7203220400,861990.0,5,2.75,3595.0,5639.0,2.0,No,0,Fair,9,3595.0,0,4,98053.0,47.6848,-122.016,3625.0,5639,59.95831885568507,9234.0,2017,7,31,No,0
9270200160,685000.0,3,1.0,1570.0,2280.0,2.0,No,0,Fair,7,1570.0,0,96,98119.0,47.6413,-122.364,1580.0,2640,39.6232255123179,3850.0,2017,10,31,No,0
1432701230,309000.0,3,1.0,1280.0,9656.0,1.0,No,0,Good,6,920.0,360,59,98058.0,47.4485,-122.175,1340.0,8808,35.77708763999664,10936.0,2017,7,31,No,0
8035350320,488000.0,3,2.5,3160.0,13603.0,2.0,No,0,Fair,8,3160.0,0,15,98019.0,47.7443,-121.977,3050.0,9232,56.213877290220786,16763.0,2017,7,31,No,0
8945200830,210490.0,3,1.0,990.0,8528.0,1.0,No,0,Fair,6,990.0,0,52,98023.0,47.3066,-122.371,1228.0,8840,31.464265445104548,9518.0,2016,3,31,No,0
4178300310,785000.0,4,2.5,2290.0,13416.0,2.0,No,0,Good,9,2290.0,0,37,98007.0,47.6194,-122.151,2680.0,13685,47.853944456021594,15706.0,2017,7,31,No,0
9215400105,450000.0,3,1.75,1250.0,5963.0,1.0,No,0,Good,7,1250.0,0,65,98115.0,47.6796,-122.301,970.0,5100,35.35533905932738,7213.0,2016,4,30,No,0
822039084,1129575.0,3,2.5,2753.0,65005.0,1.0,Yes,2,Excellent,9,2165.0,588,65,98070.0,47.4041,-122.451,2680.0,72513,52.46903848937962,67758.0,2016,3,31,No,0
5245600105,228000.0,3,1.0,1190.0,9199.0,1.0,No,0,Fair,7,1190.0,0,63,98148.0,47.4258,-122.322,1190.0,9364,34.49637662132068,10389.0,2017,9,30,No,0
7231300125,345000.0,5,2.5,3150.0,9134.0,1.0,No,0,Good,8,1640.0,1510,52,98056.0,47.4934,-122.189,1990.0,9133,56.124860801609124,12284.0,2016,2,29,No,0
7518505990,600000.0,3,1.75,1410.0,4080.0,1.0,No,0,Good,7,1000.0,410,68,98117.0,47.6808,-122.384,1410.0,4080,37.54996671103717,5490.0,2017,12,31,No,0
3626039271,585000.0,2,1.75,1980.0,8550.0,1.0,No,0,Fair,7,990.0,990,37,98117.0,47.6989,-122.369,1480.0,6738,44.49719092257398,10530.0,2016,2,29,No,0
4217401195,920000.0,5,2.25,2730.0,6000.0,1.5,No,0,Fair,8,2130.0,600,91,98105.0,47.6571,-122.281,2730.0,6000,52.24940191045253,8730.0,2016,3,31,No,0
9822700295,885000.0,4,2.5,2830.0,5000.0,2.0,No,0,Fair,9,2830.0,0,23,98105.0,47.6597,-122.29,1950.0,5000,53.19774431308154,7830.0,2017,5,31,No,0
9478500640,292500.0,4,2.5,2250.0,4495.0,2.0,No,0,Fair,7,2250.0,0,10,98042.0,47.3663,-122.114,2250.0,4500,47.43416490252569,6745.0,2017,8,31,No,0
2799800710,301000.0,3,2.5,2420.0,4750.0,2.0,No,0,Fair,8,2420.0,0,15,98042.0,47.3663,-122.122,2690.0,4750,49.193495504995376,7170.0,2016,4,30,No,0
7922800400,951000.0,5,3.25,3250.0,14342.0,2.0,No,4,Good,8,3250.0,0,50,98008.0,47.588,-122.116,2960.0,11044,57.0087712549569,17592.0,2017,8,31,No,0
8079040320,430000.0,4,3.0,1850.0,9976.0,2.0,No,0,Fair,8,1850.0,0,27,98059.0,47.5059,-122.149,2270.0,8542,43.01162633521314,11826.0,2016,2,29,No,0
1516000055,650000.0,3,2.25,2150.0,21235.0,1.0,No,3,Good,8,1590.0,560,59,98166.0,47.4336,-122.339,2570.0,18900,46.36809247747852,23385.0,2017,12,31,No,0
9558200045,289000.0,3,1.75,1260.0,8400.0,1.0,No,0,Fair,7,1260.0,0,64,98148.0,47.4366,-122.335,1290.0,8750,35.4964786985977,9660.0,2017,8,31,No,0
5072410070,505000.0,3,1.75,2519.0,8690.0,2.0,No,0,Excellent,8,2519.0,0,45,98166.0,47.4428,-122.344,2500.0,9500,50.18964036531842,11209.0,2017,10,31,No,0
9528102996,549000.0,3,1.75,1540.0,1044.0,3.0,No,0,Fair,8,1540.0,0,4,98115.0,47.6765,-122.32,1580.0,3090,39.242833740697165,2584.0,2017,12,31,No,0
1189001180,425000.0,3,2.25,1660.0,6000.0,1.0,No,0,Fair,7,1110.0,550,39,98122.0,47.6113,-122.297,1440.0,4080,40.74309757492672,7660.0,2017,6,30,No,0
3253500160,317625.0,3,2.75,2770.0,3809.0,1.5,No,0,Excellent,7,1770.0,1000,93,98144.0,47.5747,-122.304,1440.0,4000,52.630789467763066,6579.0,2017,11,30,No,0
3394100030,975000.0,4,2.5,2720.0,11049.0,2.0,No,0,Fair,10,2720.0,0,29,98004.0,47.5815,-122.192,2750.0,11049,52.15361924162119,13769.0,2017,9,30,No,0
3717000160,287000.0,4,2.5,2240.0,4648.0,2.0,No,0,Fair,7,2240.0,0,13,98001.0,47.3378,-122.257,2221.0,4557,47.32863826479693,6888.0,2017,10,31,No,0
1274500060,204000.0,3,1.0,1000.0,12070.0,1.0,No,0,Good,7,1000.0,0,50,98042.0,47.3621,-122.11,1010.0,12635,31.622776601683793,13070.0,2017,8,31,No,0
1802000060,1129575.0,5,2.25,3200.0,20158.0,1.0,No,0,Fair,8,1600.0,1600,53,98004.0,47.6303,-122.215,3390.0,20158,56.568542494923804,23358.0,2017,6,30,No,0
1525059190,1040000.0,5,3.25,4770.0,50094.0,1.0,No,0,Good,10,3070.0,1700,45,98005.0,47.6525,-122.16,3530.0,38917,69.06518659932803,54864.0,2017,9,30,No,0
1049000060,325000.0,3,2.0,1260.0,5612.0,1.0,No,0,Good,7,1260.0,0,46,98034.0,47.7362,-122.179,1640.0,4745,35.4964786985977,6872.0,2016,1,31,No,0
8820901275,571000.0,4,2.0,2750.0,7807.0,1.5,No,0,Excellent,7,2250.0,500,102,98125.0,47.7168,-122.287,1510.0,7807,52.44044240850758,10557.0,2017,6,30,No,0
5416510140,360000.0,4,2.5,2380.0,5000.0,2.0,No,0,Fair,8,2380.0,0,13,98038.0,47.3608,-122.036,2420.0,5000,48.78524367060187,7380.0,2017,7,31,No,0
3444100400,349000.0,3,1.75,1790.0,50529.0,1.0,No,0,Excellent,7,1090.0,700,53,98042.0,47.3511,-122.073,1940.0,50529,42.30839160261236,52319.0,2016,3,31,No,0
3276920270,832500.0,4,4.0,3430.0,35102.0,2.0,No,0,Good,10,2390.0,1040,32,98075.0,47.5822,-121.987,3240.0,35020,58.56620185738529,38532.0,2017,11,30,No,0
4036801170,380000.0,4,1.75,1760.0,7300.0,1.0,No,0,Fair,7,880.0,880,62,98008.0,47.6034,-122.125,1680.0,7500,41.95235392680606,9060.0,2017,10,31,No,0
2391600320,480000.0,3,1.0,1040.0,5060.0,1.0,No,0,Fair,7,1040.0,0,77,98116.0,47.5636,-122.394,890.0,5060,32.2490309931942,6100.0,2016,4,30,No,0
6300000287,410000.0,3,1.0,1410.0,5060.0,1.0,No,0,Good,7,910.0,500,62,98133.0,47.7073,-122.34,1130.0,5693,37.54996671103717,6470.0,2017,6,30,No,0
1531000030,720000.0,4,2.5,3450.0,39683.0,2.0,No,0,Fair,10,3450.0,0,16,98010.0,47.342,-122.025,3350.0,39750,58.73670062235365,43133.0,2016,3,31,No,0
5104520400,390000.0,3,2.5,2350.0,5100.0,2.0,No,0,Fair,8,2350.0,0,15,98038.0,47.3512,-122.008,2350.0,5363,48.47679857416329,7450.0,2017,12,31,No,0
7437100340,360000.0,4,2.5,1900.0,5889.0,2.0,No,0,Fair,7,1900.0,0,26,98038.0,47.349,-122.031,1870.0,6405,43.58898943540674,7789.0,2017,12,31,No,0
9418400240,355000.0,2,1.0,2020.0,6720.0,1.0,No,0,Fair,7,1010.0,1010,70,98118.0,47.5474,-122.291,1720.0,6720,44.94441010848846,8740.0,2017,10,31,No,0
1523059105,356000.0,3,1.5,1680.0,8712.0,1.0,No,0,Fair,8,1680.0,0,54,98059.0,47.4811,-122.149,1850.0,8797,40.98780306383839,10392.0,2016,1,31,No,0
1133000671,315000.0,3,1.0,960.0,6634.0,1.0,No,0,Fair,6,960.0,0,66,98125.0,47.7264,-122.31,1570.0,7203,30.983866769659336,7594.0,2017,6,30,No,0
4232902595,940000.0,3,1.5,2140.0,3600.0,2.0,No,0,Fair,9,1900.0,240,93,98119.0,47.6337,-122.365,2020.0,4800,46.26013402488151,5740.0,2017,11,30,No,0
2599001200,305000.0,5,2.25,2660.0,8400.0,1.5,No,0,Excellent,7,2660.0,0,57,98092.0,47.2909,-122.189,1590.0,8165,51.57518783291051,11060.0,2017,11,30,No,0
3342103156,461000.0,3,3.25,2770.0,6278.0,2.0,No,0,Fair,9,1980.0,790,12,98056.0,47.5228,-122.199,1900.0,7349,52.630789467763066,9048.0,2017,6,30,No,0
1332700270,215000.0,2,2.25,1610.0,2040.0,2.0,No,0,Good,7,1610.0,0,39,98056.0,47.518,-122.194,1950.0,2025,40.124805295477756,3650.0,2017,5,31,No,0
3869900162,335000.0,2,1.75,1030.0,1066.0,2.0,No,0,Fair,7,765.0,265,12,98136.0,47.5394,-122.387,1030.0,1106,32.09361307176243,2096.0,2017,9,30,No,0
5036300431,1100000.0,5,2.75,3520.0,6353.0,2.0,No,0,Good,10,3520.0,0,17,98199.0,47.6506,-122.391,2520.0,6250,59.329587896765304,9873.0,2016,3,31,No,0
4168000060,153000.0,3,1.0,1200.0,10500.0,1.0,No,0,Fair,7,1200.0,0,56,98023.0,47.322,-122.351,1350.0,10500,34.64101615137755,11700.0,2016,2,29,No,0
6021501535,430000.0,3,1.5,1580.0,5000.0,1.0,No,0,Fair,8,1290.0,290,79,98117.0,47.687,-122.386,1570.0,4500,39.74921382870358,6580.0,2017,7,31,No,0
6021501535,700000.0,3,1.5,1580.0,5000.0,1.0,No,0,Fair,8,1290.0,290,79,98117.0,47.687,-122.386,1570.0,4500,39.74921382870358,6580.0,2017,12,31,No,0
1483300570,905000.0,4,2.5,3300.0,10250.0,1.0,No,0,Fair,7,2390.0,910,72,98040.0,47.5873,-122.249,1950.0,6045,57.445626465380286,13550.0,2017,9,30,Yes,26
3422049190,247500.0,3,1.75,1960.0,15681.0,1.0,No,0,Fair,7,1960.0,0,51,98032.0,47.3576,-122.277,1750.0,15616,44.27188724235731,17641.0,2016,3,31,No,0
1099611230,199000.0,4,1.5,1160.0,6400.0,1.0,No,0,Good,7,1160.0,0,43,98023.0,47.3036,-122.378,1160.0,6400,34.058772731852805,7560.0,2017,9,30,No,0
722079104,314000.0,3,1.75,1810.0,41800.0,1.0,No,0,Excellent,7,1210.0,600,38,98038.0,47.4109,-121.958,1650.0,135036,42.5440947723653,43610.0,2017,7,31,No,0
7338200240,437500.0,3,2.5,2320.0,36847.0,2.0,No,2,Fair,9,2320.0,0,26,98045.0,47.4838,-121.714,2550.0,35065,48.16637831516918,39167.0,2017,5,31,No,0
1952200240,850830.0,3,2.5,2070.0,13241.0,1.5,No,0,Excellent,9,1270.0,800,108,98102.0,47.6415,-122.315,2200.0,4500,45.4972526643093,15311.0,2017,6,30,No,0
5200100125,555000.0,3,2.0,1980.0,3478.0,1.5,No,0,Good,7,1440.0,540,89,98117.0,47.6775,-122.372,1610.0,3478,44.49719092257398,5458.0,2017,10,31,No,0
7214720075,699950.0,3,2.25,2190.0,107593.0,2.0,No,0,Good,8,2190.0,0,35,98077.0,47.7731,-122.08,2570.0,47777,46.79743582719036,109783.0,2017,12,31,No,0
2450000295,1090000.0,3,2.5,2920.0,8113.0,2.0,No,0,Fair,8,2920.0,0,68,98004.0,47.5814,-122.196,2370.0,8113,54.037024344425184,11033.0,2017,10,31,Yes,7
6197800045,290000.0,3,1.0,1210.0,33919.0,1.0,No,0,Fair,7,1210.0,0,64,98058.0,47.4375,-122.184,1640.0,14910,34.785054261852174,35129.0,2017,9,30,No,0
1328310370,375000.0,3,2.5,2340.0,10005.0,1.0,No,0,Good,8,1460.0,880,40,98058.0,47.4431,-122.133,2250.0,8162,48.373546489791295,12345.0,2016,4,30,No,0
546000875,460000.0,3,1.0,1670.0,4005.0,1.5,No,0,Good,7,1170.0,500,79,98117.0,47.6878,-122.38,1240.0,4005,40.8656334834051,5675.0,2017,5,31,No,0
3530510041,188500.0,2,1.75,1240.0,2493.0,1.0,No,0,Good,8,1240.0,0,33,98198.0,47.3813,-122.322,1270.0,4966,35.21363372331802,3733.0,2017,7,31,No,0
1853000400,680000.0,4,2.5,3140.0,28037.0,2.0,No,0,Good,10,3140.0,0,27,98077.0,47.7304,-122.082,2990.0,35001,56.0357029044876,31177.0,2016,3,31,No,0
3134100116,470000.0,5,1.75,2030.0,12342.0,2.0,No,0,Good,7,2030.0,0,76,98052.0,47.6417,-122.109,2500.0,9433,45.05552130427524,14372.0,2017,8,31,No,0
9545230140,597750.0,4,2.5,2310.0,9624.0,2.0,No,0,Fair,8,2310.0,0,34,98027.0,47.5386,-122.053,1940.0,9636,48.062459362791664,11934.0,2017,7,31,No,0
3362400511,570000.0,3,1.75,1260.0,3328.0,1.0,No,0,Excellent,6,700.0,560,113,98103.0,47.6823,-122.349,1380.0,3536,35.4964786985977,4588.0,2016,3,31,No,0
2525310310,272500.0,3,1.75,1540.0,12600.0,1.0,No,0,Good,7,1160.0,380,38,98038.0,47.3624,-122.031,1540.0,11656,39.242833740697165,14140.0,2017,9,30,No,0
6126500060,329950.0,3,1.75,2080.0,5969.0,1.0,No,2,Fair,7,1080.0,1000,47,98108.0,47.5474,-122.295,2090.0,5500,45.60701700396552,8049.0,2017,11,30,No,0
8961960160,480000.0,4,2.5,3230.0,16171.0,2.0,No,3,Fair,9,2520.0,710,17,98001.0,47.3183,-122.253,2640.0,8517,56.83308895353129,19401.0,2017,10,31,No,0
3626039325,740500.0,3,3.5,4380.0,6350.0,2.0,No,0,Fair,8,2780.0,1600,118,98117.0,47.6981,-122.368,1830.0,6350,66.18156843109719,10730.0,2017,11,30,Yes,18
3362400431,518500.0,3,3.5,1590.0,1102.0,3.0,No,0,Fair,8,1590.0,0,8,98103.0,47.6824,-122.347,1620.0,3166,39.87480407475377,2692.0,2017,6,30,No,0
4060000240,205425.0,2,1.0,880.0,6780.0,1.0,No,0,Good,6,880.0,0,73,98178.0,47.5009,-122.248,1190.0,6780,29.664793948382652,7660.0,2017,6,30,No,0
3454800060,171800.0,4,2.0,1570.0,9600.0,1.0,No,0,Fair,6,1570.0,0,68,98168.0,47.4965,-122.303,1880.0,9000,39.6232255123179,11170.0,2016,1,31,No,0
1695900060,535000.0,4,1.0,1610.0,2982.0,1.5,No,0,Good,7,1610.0,0,93,98144.0,47.587,-122.294,1610.0,4040,40.124805295477756,4592.0,2016,5,31,No,0
7278700070,660000.0,3,2.5,2400.0,6474.0,1.0,No,2,Fair,8,1560.0,840,54,98177.0,47.7728,-122.386,2340.0,10856,48.98979485566356,8874.0,2016,1,31,No,0
6675500070,391500.0,3,2.0,1450.0,9132.0,1.0,No,0,Fair,7,1450.0,0,31,98034.0,47.7288,-122.226,1580.0,9104,38.07886552931954,10582.0,2017,11,30,No,0
3626039187,395000.0,2,1.0,770.0,6000.0,1.0,No,0,Fair,6,770.0,0,65,98117.0,47.6999,-122.364,1710.0,6000,27.748873851023216,6770.0,2016,4,30,No,0
3524049083,445000.0,4,1.75,2100.0,4400.0,1.5,No,0,Excellent,7,1720.0,380,94,98118.0,47.5299,-122.266,1850.0,4400,45.8257569495584,6500.0,2017,11,30,No,0
3275860240,770000.0,3,2.25,2910.0,10204.0,2.0,No,0,Fair,9,2910.0,0,28,98052.0,47.6897,-122.098,2700.0,13992,53.94441583704471,13114.0,2017,6,30,No,0
4389200955,1129575.0,4,2.75,2750.0,17789.0,1.5,No,0,Fair,8,1980.0,770,104,98004.0,47.6141,-122.212,3060.0,11275,52.44044240850758,20539.0,2016,3,31,Yes,24
4058801670,445000.0,3,2.25,2100.0,8201.0,1.0,No,2,Fair,8,1620.0,480,51,98178.0,47.5091,-122.244,2660.0,8712,45.8257569495584,10301.0,2017,7,31,No,0
8732020310,260000.0,4,2.25,2160.0,8811.0,1.0,No,0,Fair,8,1360.0,800,40,98023.0,47.3129,-122.39,2090.0,8400,46.475800154489,10971.0,2017,7,31,No,0
2331300505,822500.0,5,3.5,2320.0,4960.0,2.0,No,0,Excellent,7,1720.0,600,92,98103.0,47.6763,-122.352,1700.0,4960,48.16637831516918,7280.0,2017,6,30,No,0
7853210060,430000.0,4,2.5,2070.0,4310.0,2.0,No,0,Fair,7,2070.0,0,14,98065.0,47.5319,-121.85,1970.0,3748,45.4972526643093,6380.0,2016,4,30,No,0
3668000070,212000.0,3,1.75,1060.0,7875.0,1.0,No,0,Good,7,1060.0,0,32,98092.0,47.2761,-122.152,1420.0,7680,32.55764119219941,8935.0,2016,1,31,No,0
9545240070,660500.0,4,2.25,2010.0,9603.0,1.0,No,0,Fair,8,1440.0,570,32,98027.0,47.5343,-122.054,2060.0,9793,44.83302354291979,11613.0,2016,4,30,No,0
1243100136,784000.0,3,3.5,3950.0,111078.0,1.5,No,0,Fair,9,2460.0,1490,29,98052.0,47.697,-122.072,2480.0,88500,62.849025449882674,115028.0,2017,6,30,No,0
8929000270,453246.0,3,2.5,2010.0,2287.0,2.0,No,0,Fair,8,1390.0,620,4,98029.0,47.5517,-121.998,1690.0,1662,44.83302354291979,4297.0,2017,5,31,No,0
2767602356,675000.0,4,3.5,2140.0,2278.0,3.0,No,0,Fair,9,2140.0,0,13,98107.0,47.6734,-122.38,1540.0,2285,46.26013402488151,4418.0,2016,1,31,No,0
921049315,199000.0,3,1.75,1320.0,17390.0,1.0,No,0,Good,7,1320.0,0,62,98003.0,47.3257,-122.296,1550.0,19265,36.3318042491699,18710.0,2017,8,31,No,0
3655000070,220000.0,4,1.75,2020.0,7840.0,1.0,No,0,Fair,7,1010.0,1010,50,98003.0,47.3309,-122.299,1750.0,8140,44.94441010848846,9860.0,2017,8,31,No,0
4027700812,452000.0,4,2.25,2590.0,10002.0,1.0,No,0,Good,8,1340.0,1250,50,98028.0,47.7689,-122.266,1550.0,10436,50.89204259999789,12592.0,2017,5,31,No,0
3992700335,382500.0,2,1.0,1190.0,4440.0,1.0,No,0,Fair,6,1190.0,0,37,98125.0,47.7135,-122.287,1060.0,5715,34.49637662132068,5630.0,2017,7,31,No,0
2767603505,519950.0,3,2.25,1170.0,1249.0,3.0,No,0,Fair,8,1170.0,0,4,98107.0,47.6722,-122.381,1350.0,1310,34.20526275297414,2419.0,2017,5,31,No,0
4232901525,665000.0,2,1.0,1110.0,3200.0,1.0,No,0,Fair,7,1110.0,0,93,98119.0,47.6338,-122.358,1170.0,3600,33.31666249791537,4310.0,2017,6,30,No,0
1777500060,527700.0,5,2.5,2820.0,9375.0,1.0,No,0,Good,8,1550.0,1270,50,98006.0,47.5707,-122.128,2820.0,9375,53.103672189407014,12195.0,2017,7,31,No,0
